time collected,id,sponsored,username,time,likes,comments,description
11-01-24 16:13:33,/p/DAwa2mKs_df/,not sponsored,neotwm,2024-10-05T20:53:17.000Z,"89,908",99,Pedazo hostia #thewallboulderalcoi #escalada
11-01-24 16:13:38,/p/DA4jp-CynhA/,not sponsored,jlngns,2024-10-09T00:46:09.000Z,"17,813",180,what’s the difference between a short and a tall climber?
11-01-24 16:13:44,/p/C_hrxNBy8yD/,not sponsored,quantum_nz,2024-09-05T07:00:00.000Z,"26,523",122,Upcycling some of our new rad colour ways that will be available in this Fridays drop. We rework retired climbing rope
11-01-24 16:13:48,/p/DBePtDhRF_1/,not sponsored,paradigm_climbing_coaching,2024-10-23T16:00:00.000Z,"18,829",87,“Alleoupe” 🏃 🐸 😆⭐️T
11-01-24 16:13:54,/p/DBcTVSIyEiY/,not sponsored,sara.sendedition,2024-10-22T21:54:18.000Z,927,6,Sometimes you only need one more inch and this can help you do that #climbing
11-01-24 16:13:54,Sponsored,level5pntgllc,no time,no likes,no comments,Interior / Exterior Painting & Wallpaper Installation Projects.,
11-01-24 16:14:02,/p/C_DMTwatAot/,not sponsored,jules_marchaland,2024-08-24T10:51:27.000Z,"7,930",15,Bouldering sesh after long time it’s always fun 🏄🐷T
11-01-24 16:14:09,/p/DBCvARKSmkx/,not sponsored,thiccboulders,2024-10-12T23:37:11.000Z,"2,085",18,going to go climb outdoors today and complain about the route-setter (god)
11-01-24 16:14:16,/p/C-psCH_OSau/,not sponsored,physio.rocks,2024-08-14T13:07:21.000Z,"7,525",43,🧗‍♀️ Climbing Shoe Hip Mobility & Stability Challenge 🔄
11-01-24 16:14:21,/p/DBmNKBQxtL5/,not sponsored,crimpology1,2024-10-26T18:14:34.000Z,"42,303",117,sweaty ahh wal 😭😭 #rockclimbing #boulder #reachclimbing #crimpology @reachclimbingphilly
11-01-24 16:14:28,/p/DAQsk5nSy1v/,not sponsored,balance.climbing,2024-09-23T13:18:08.000Z,"1,014",7,"Single, taken or it’s complicated - what’s your current status? 🙂‍↕️🥰🤨."
11-01-24 16:14:33,Sponsored,bestbuy,no time,no likes,no comments,kate spade new york - Liquid Glitter Case with MagSafe for Apple iPhone 16 Pro Max - Opal Iridescent,
11-01-24 16:14:37,/p/DA0Sos_S8Ek/,not sponsored,ko.raccoon,2024-10-07T08:58:52.000Z,"5,351",40,Who needs a second hand?😂
11-01-24 16:14:43,/p/C-dBOM6u7_H/,not sponsored,loiduongjr,2024-08-09T15:00:00.000Z,"705,281","2,340",It’s the same in climbing as it is in life. Keep going up. Aim for your wildest dreams. There will always be changes in
11-01-24 16:14:47,/p/DBx0y3TS3xh/,not sponsored,gyuyeon.climber,2024-10-31T06:30:12.000Z,354,26,🟣X10 던전뉴셋 올클✨
11-01-24 16:14:47,/p/DBqklbHyqMD/,not sponsored,mia._.abra,2024-10-28T10:58:14.000Z,"14,161",21,Stranger Climbs 2024 @coreclimbaus 🔥🔥🔥🗣️🗣️#my
11-01-24 16:14:55,/p/DBRWQqDpM1k/,not sponsored,codyandvictoria,2024-10-18T15:48:17.000Z,"6,207",104,"At this rate, who needs kids😜"
11-01-24 16:15:01,/p/DBtA2aVo6W4/,not sponsored,patxiusobiaga_pucseries,2024-10-29T09:42:25.000Z,649,no comments,"Con el lema de @rockbusters_climbing “If you can’t clip it , Skip it”  vamos adelante esta nueva semana. Con una"
11-01-24 16:15:05,Sponsored,jeffreyhayesartist,no time,221,no comments,"In our fast-paced, chaotic world, I find enduring solace in the delicate balance of inspiration, craftsmanship, and",
11-01-24 16:15:09,/p/DAvSZ4SpfPo/,not sponsored,a.hoyt,2024-10-05T10:20:21.000Z,"1,566",36,The Terrifying Table Rock Climbing Trail! ⛰️⛰️
11-01-24 16:15:15,/p/DBewl1GOpq-/,not sponsored,redbulladventure,2024-10-23T20:47:54.000Z,"6,931",43,the lineup you’ve been waiting for 🧗‍♂️
11-01-24 16:15:18,/p/DBrSlqhSYQu/,not sponsored,richieisms,2024-10-28T17:42:25.000Z,"1,066",28,90 second basic TRS tutorial: 🤓 
11-01-24 16:15:26,/p/DBrDcf5PioO/,not sponsored,thats_bomber,2024-10-28T15:24:21.000Z,814,16,getting hyped up on a V0
11-01-24 16:15:31,/p/DB1aCK7PVmk/,not sponsored,codyandvictoria,2024-11-01T15:53:19.000Z,315,11,October was a good one🤘Welcoming in November🍂
11-01-24 16:15:39,Sponsored,officialfinderscreepers,no time,25,no comments,Make game night scary good. Shop Finders Creepers at any Walmart location.,
11-01-24 16:15:39,/p/DBjSH-4tHdp/,not sponsored,domen_skofic,2024-10-25T14:57:53.000Z,"1,472",18,This is not going to be easy at all but I have to figure it out because I owe it to my inner child 🤷🏻‍♂️I
11-01-24 16:15:43,/p/DBtijTiOyNb/,not sponsored,mayafm3,2024-10-29T14:33:50.000Z,"1,147",9,SUMMIT MASTERS 🙌 one of my favorite comps ever. @piconorte goes above and beyond.. ¡muchas gracias Monterrey! 
11-01-24 16:15:50,/p/DBgjXo8N2NR/,not sponsored,mejdi_schalck,2024-10-24T13:30:51.000Z,"26,640",215,“Es pontas” 9a+ ✅🌊
11-01-24 16:15:55,/p/DBqOHdKy_c_/,not sponsored,leedo_ss,2024-10-28T07:37:33.000Z,"2,739",13,First time in @underground_bouldering_gym 
11-01-24 16:16:00,/p/DBbeqnnxH42/,not sponsored,killingtonmtn,2024-10-22T14:15:20.000Z,"7,708",115,One of many capital improvements as an independent resort is the replacement of the Superstar Express Quad with a $12
11-01-24 16:16:06,Sponsored,carhartt,no time,no likes,no comments,Carhartt Women's Haslett Moc Toe Canvas Chukka | Gray | 7.5 M,
11-01-24 16:16:13,/p/DBPAvRyP0iY/,not sponsored,freeskiermagazine,2024-10-17T18:02:25.000Z,"18,465",100,October storms deliver for the East Coast 🫨
11-01-24 16:16:17,/p/C-p01y3OmgC/,not sponsored,chengisalwaysclimbing,2024-08-14T14:22:54.000Z,"34,319",72,drop knee
11-01-24 16:16:17,/p/DBWa5wBCwTr/,not sponsored,annaliinalaitinen,2024-10-20T15:06:54.000Z,"48,314",204,🧠⁣
11-01-24 16:16:22,Sponsored,disneyanimation,no time,"5,058",no comments,"The ocean is calling 🌊 Get your tickets NOW for #Moana2, only in theaters November 27!",
11-01-24 16:16:27,/p/C_Y-Mu8y_9C/,not sponsored,christyeahclimb,2024-09-01T21:49:19.000Z,"18,398",171,Creative bouldering @faultlineclimbing🤗 #alternativebeta
11-01-24 16:16:32,/p/DBG_Kt4N6MN/,not sponsored,maritaklatrer,2024-10-14T15:17:13.000Z,"6,331",83,One leg bathang🦇
11-01-24 16:16:36,/p/DA6FWJJN-tA/,not sponsored,louis_climbing72,2024-10-09T14:59:59.000Z,"15,559",103,H4 - Pépite.
11-01-24 16:16:42,/p/DBgj7zJteCM/,not sponsored,jakub_jedlicka_climbing,2024-10-24T13:36:32.000Z,"6,837",108,The power of the tucked-in thumb is truly remarkable 🥹
